Finger Type,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
Finger_Large,136.83,-11.73635018,-0.380385011,7.448843746,14.0782106,20.45625729,27.71
Finger_Large,138.9,-11.72127421,-0.291002532,7.622342079,14.33699814,20.820536,28.16
Finger_Large,140.98,-11.76019255,-0.314427778,7.621139455,14.34697636,20.83708831,28.16
Finger_Large,143.05,-11.76692974,-0.272184217,7.720982661,14.50044459,21.05464743,28.42
Finger_Large,145.12,-11.70852739,-0.093709998,8.034510371,14.95829688,21.7000828,29.23
Finger_Large,147.2,-11.69381142,-0.007426637,8.204500964,15.21148909,22.05923776,29.67
Finger_Large,149.27,-11.71587311,0.000561926,8.250232603,15.28719048,22.16885188,29.79
Finger_Large,151.34,-11.7000726,0.08716816,8.420509146,15.54026141,22.52884378,30.23
Finger_Large,153.41,-11.73651556,0.062150786,8.411994902,15.53786047,22.52845816,30.21
Finger_Large,155.49,-11.77722757,0.025878567,8.384149156,15.50739077,22.48832033,30.14
Finger_Large,157.56,-11.80624808,0.012364646,8.391406925,15.5265652,22.51822499,30.16
Finger_Large,159.63,-11.82421145,0.021248289,8.433747635,15.59551199,22.61849525,30.27
Finger_Large,161.71,-11.85524733,-0.000376816,8.425640933,15.59189471,22.61606033,30.25
Finger_Large,163.78,-11.87949789,-0.009162025,8.437061833,15.61577077,22.65246415,30.28
Finger_Large,165.85,-11.90567925,-0.0243183,8.436906926,15.62264627,22.66471888,30.28
Finger_Large,167.93,-11.879093,0.079515659,8.631261378,15.90807274,23.07216554,30.78
Finger_Large,170,-11.89427174,0.086758879,8.666271034,15.9647167,23.1551624,30.87
Finger_Large,172.07,-11.8951951,0.125193938,8.751972629,16.09372485,23.34107748,31.09
Finger_Large,174.15,-11.84213602,0.285924008,9.040583623,16.51341429,23.94138045,31.83
Finger_Large,176.22,-11.8705245,0.25945811,9.017344534,16.48563528,23.90437119,31.77
Finger_Large,178.29,-11.85302088,0.33642444,9.165967956,16.70396121,24.21856728,32.15
Finger_Large,180.37,-11.80401777,0.483508743,9.432318916,17.0906803,24.77423751,32.83
Finger_Large,182.44,-11.77242174,0.588912075,9.628767196,17.37674649,25.1868785,33.33
Finger_Large,184.51,-11.68759864,0.80864449,10.01879148,17.93911447,25.99751681,34.32
Finger_Large,186.59,-11.63811035,0.947274407,10.27216684,18.30530536,26.52791196,34.96
Finger_Large,188.66,-11.64320584,0.967668265,10.32412201,18.38357324,26.64383584,35.09
Finger_Large,190.73,-11.66148559,0.958450874,10.32462223,18.38808246,26.65330714,35.09
Finger_Large,192.8,-11.6786681,0.949899157,10.325151,18.39229067,26.66224358,35.09
Finger_Large,194.88,-11.69591937,0.939638663,10.32174279,18.39055879,26.66251532,35.08
Finger_Large,196.95,-11.64504035,1.075843637,10.56838726,18.74556089,27.17852058,35.7
Finger_Large,199.02,-11.5890129,1.219709855,10.82795769,19.11826853,27.72132279,36.35
Finger_Large,201.1,-11.50233536,1.422735356,11.18900473,19.63439262,28.47386402,37.25
Finger_Large,203.17,-11.44463321,1.561599015,11.43924114,19.99193861,28.99743239,37.87
Finger_Large,205.24,-11.40635143,1.659132703,11.61767593,20.2470083,29.37251198,38.31
Finger_Large,207.32,-11.31093816,1.863904164,11.97997291,20.76131567,30.12733776,39.2
Finger_Large,209.39,-11.19319668,2.102051045,12.39849182,21.35289905,30.99771912,40.22
Finger_Large,211.46,-11.11928821,2.253850298,12.66732267,21.73228703,31.55862664,40.87
Finger_Large,213.54,-11.01656027,2.451226689,13.01290427,22.21784756,32.27726625,41.7
Finger_Large,215.61,-11.02928463,2.447570177,13.01304466,22.2197664,32.28365412,41.7
Finger_Large,217.68,-10.92966907,2.633375461,13.33605944,22.67200132,32.95502497,42.47
Finger_Large,219.76,-10.85118352,2.77943171,13.58947645,23.025971,33.48247692,43.07
Finger_Large,221.83,-10.6872559,3.056324456,14.06276898,23.6829435,34.46084784,44.18
Finger_Large,223.9,-10.57530185,3.243732561,14.38147063,24.12372182,35.12038624,44.92
Finger_Large,225.98,-10.33222363,3.615740733,15.00604741,24.98098024,36.40344094,46.35
Finger_Large,228.05,-10.21481869,3.796482116,15.3065295,25.39179115,37.02242377,47.03
Finger_Large,230.12,-10.0757879,4.002367969,15.64554201,25.85313837,37.71853949,47.79
Finger_Large,232.2,-9.940266859,4.198574573,15.96515741,26.28630682,38.37389165,48.5
Finger_Large,234.27,-9.758398751,4.449786711,16.3706107,26.83266444,39.20120366,49.39
Finger_Large,236.34,-9.640195318,4.614614066,16.63205695,27.1840373,39.73614618,49.96
Finger_Large,238.41,-9.526850194,4.770747917,16.8766739,27.51181718,40.23635437,50.49
Finger_Large,240.49,-9.536788445,4.773272466,16.87359753,27.50963529,40.23801009,50.49
Finger_Large,242.56,-9.414141692,4.938594232,17.12888425,27.85060746,40.75910349,51.04
Finger_Large,244.63,-9.351967318,5.028580733,17.26235268,28.02939508,41.03506461,51.33
Finger_Large,246.71,-9.33595784,5.062245934,17.30562499,28.08870464,41.12998765,51.43
Finger_Large,248.78,-9.264009589,5.163054585,17.45339741,28.28612409,41.43461293,51.75
Finger_Large,250.85,-9.106910859,5.364076285,17.7553159,28.68616117,42.04777014,52.39
Finger_Large,252.93,-8.97883155,5.528286547,17.99658633,29.00524222,42.53876175,52.9
Finger_Large,255,-8.824090819,5.721078398,18.27861703,29.37660156,43.11030726,53.49
Finger_Large,257.07,-8.678113243,5.901418305,18.53810095,29.71736334,43.63611905,54.03
Finger_Large,259.15,-8.601462715,6.002300454,18.67466657,29.89777421,43.91746149,54.32
Finger_Large,261.22,-8.550200732,6.07428171,18.76641556,30.0199852,44.10996223,54.52
Finger_Large,263.29,-8.41626493,6.237843109,18.99334336,30.31705933,44.57063438,54.99
Finger_Large,265.37,-8.424309966,6.243672323,18.98421989,30.30899418,44.56384106,54.99
Finger_Large,267.44,-8.324255331,6.368882325,19.15090783,30.52809327,44.90561289,55.34
Finger_Large,269.51,-8.196630597,6.523534342,19.35859253,30.79969796,45.32853823,55.77
Finger_Large,271.59,-8.118055825,6.624068494,19.48516024,30.9668366,45.59137143,56.04
Finger_Large,273.66,-7.97531421,6.793368117,19.7093312,31.25892724,46.04694254,56.5
Finger_Large,275.73,-7.910422763,6.878344166,19.81024525,31.39318019,46.25982872,56.72
Finger_Large,277.8,-7.875605014,6.931064742,19.86419853,31.46769655,46.38077779,56.85
Finger_Large,279.88,-7.796183426,7.031512538,19.98492942,31.62771819,46.63387853,57.11
Finger_Large,281.95,-7.792360232,7.051225583,19.99100131,31.6418498,46.6618394,57.15
Finger_Large,284.02,-7.792416365,7.066811677,19.99121206,31.64890406,46.67888342,57.18
Finger_Large,286.1,-7.824121271,7.048523608,19.94404353,31.59595906,46.60321594,57.12
Finger_Large,288.17,-7.825255888,7.062957922,19.94290595,31.60213308,46.6189031,57.15
Finger_Large,290.24,-7.833907597,7.069345265,19.93072399,31.59466388,46.6135133,57.16
Finger_Large,292.32,-7.805195922,7.116261248,19.97455096,31.6592616,46.71972694,57.28
Finger_Large,294.39,-7.773401168,7.166590796,20.02289342,31.73008804,46.83569851,57.41
Finger_Large,296.46,-7.773746123,7.182403869,20.02389429,31.74102877,46.85901361,57.45
Finger_Large,298.54,-7.739752417,7.23558617,20.07572918,31.81746827,46.98398826,57.59
Finger_Large,300.61,-7.77357128,7.215557458,20.02856817,31.76809561,46.91392549,57.54
Finger_Large,302.68,-7.804800138,7.198351265,19.98589661,31.7249965,46.85361084,57.5
Finger_Large,304.76,-7.851132197,7.164771924,19.92186878,31.6551928,46.75190984,57.42
Finger_Large,306.83,-7.873935175,7.156903456,19.89320377,31.63118291,46.72127786,57.41
Finger_Large,308.9,-7.897910159,7.147932733,19.86374601,31.60680991,46.6901412,57.4
Finger_Large,310.98,-7.968392852,7.087822567,19.76710268,31.49692521,46.52627775,57.26
Finger_Large,313.05,-7.956709053,7.118733267,19.79208781,31.54383097,46.60598781,57.36
