Configuration,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
DS20DS20_0_1vsDS30DS30_0_2,17,-13.1493814,-6.689282258,-3.737546937,-2.021395102,-1.06283671,1.278884771
DS20DS20_0_1vsDS30DS30_0_2,25.5,-12.41886021,-5.305016225,-1.768720714,0.462233701,2.116649335,4.412920938
DS20DS20_0_1vsDS30DS30_0_2,34,-12.50480388,-5.242993544,-1.534380975,0.85383603,2.782712772,4.871430414
DS20DS20_0_1vsDS30DS30_0_2,42.5,-12.71966305,-5.345839468,-1.336997015,1.364785468,3.574683684,6.879933964
DS20DS20_0_1vsDS30DS30_0_2,51,-12.34724049,-4.313512761,0.34189824,3.63026059,6.362409836,10.37053609
DS20DS20_0_1vsDS30DS30_0_2,59.5,-11.81725452,-3.26628915,1.916973543,5.692478934,9.024085273,13.13505746
DS20DS20_0_1vsDS30DS30_0_2,68,-11.81725452,-3.217730977,2.165207508,6.138669817,9.754606459,14.08043782
DS20DS20_0_1vsDS30DS30_0_2,76.5,-11.8745503,-3.101420545,2.647924451,6.918465377,10.8861981,15.75633937
DS20DS20_0_1vsDS30DS30_0_2,85,-11.47347985,-2.229092302,4.049092738,8.780578211,13.23532507,19.07949458
DS20DS20_0_1vsDS30DS30_0_2,93.5,-11.24429673,-1.585517459,5.047185217,10.12702903,15.04014212,20.85566375
DS20DS20_0_1vsDS30DS30_0_2,102,-11.3302404,-1.578355486,5.288113971,10.55674738,15.74201542,21.78672016
DS20DS20_0_1vsDS30DS30_0_2,110.5,-11.24429673,-1.247615599,5.915789235,11.54509957,17.13143808,23.56288933
DS20DS20_0_1vsDS30DS30_0_2,119,-10.95781783,-0.441635869,7.233592164,13.33559268,19.40894531,26.54226986
DS20DS20_0_1vsDS30DS30_0_2,127.5,-10.68566288,0.243593007,8.264916195,14.76798717,21.29970603,28.47600242
DS20DS20_0_1vsDS30DS30_0_2,136,-10.67133893,0.362710932,8.637338761,15.35526891,22.15914273,30.03731241
DS20DS20_0_1vsDS30DS30_0_2,144.5,-10.6283671,0.604513446,9.167324723,16.14308588,23.27641043,31.81348157
DS20DS20_0_1vsDS30DS30_0_2,153,-10.3418882,1.262226023,10.22729664,17.64710009,25.15284721,34.03369303
DS20DS20_0_1vsDS30DS30_0_2,161.5,-10.15567692,1.794360575,11.10105728,18.90760724,26.72848115,35.89580587
DS20DS20_0_1vsDS30DS30_0_2,170,-10.17000086,1.929148897,11.48780379,19.40894531,27.48765022,36.61200311
DS20DS20_0_1vsDS30DS30_0_2,178.5,-10.19864875,2.02425989,11.78860664,19.96757916,28.31843902,38.28790466
DS20DS20_0_1vsDS30DS30_0_2,187,-10.0554093,2.524595285,12.56209966,21.07052292,29.70786168,40.25028511
DS20DS20_0_1vsDS30DS30_0_2,195.5,-9.912169855,2.988834339,13.2782969,22.07319906,30.98269277,41.58241198
DS20DS20_0_1vsDS30DS30_0_2,204,-9.9264938,3.123049702,13.5647758,22.70345264,32.05698864,42.32725711
DS20DS20_0_1vsDS30DS30_0_2,212.5,-9.95514169,3.186504778,13.79395892,23.16181887,32.70156616,43.11507409
DS20DS20_0_1vsDS30DS30_0_2,221,-9.840550131,3.523260722,14.32394488,23.60586116,33.68991835,44.50449673
DS20DS20_0_1vsDS30DS30_0_2,229.5,-9.725958572,3.898261599,14.91122662,24.39367813,34.76421422,45.63608838
DS20DS20_0_1vsDS30DS30_0_2,238,-9.668662792,3.967732732,15.0974379,24.72312886,35.16528468,46.35228563
DS20DS20_0_1vsDS30DS30_0_2,246.5,-9.611367013,4.001250763,15.25500129,24.98095987,35.62365092,47.02551103
DS20DS20_0_1vsDS30DS30_0_2,255,-9.554071233,4.190899793,15.57012808,25.42500216,36.26822843,47.79900406
DS20DS20_0_1vsDS30DS30_0_2,263.5,-9.439479674,4.4229477,15.94255065,25.95498812,36.95577779,48.55817314
DS20DS20_0_1vsDS30DS30_0_2,272,-9.425155729,4.473654464,16.12876194,26.21281913,37.24225668,49.01653938
DS20DS20_0_1vsDS30DS30_0_2,280.5,-9.45380362,4.458614322,16.15740983,26.2987628,37.4714398,49.23139854
DS20DS20_0_1vsDS30DS30_0_2,289,-9.396507841,4.53983109,16.35794505,26.5565938,37.77224265,49.84732818
DS20DS20_0_1vsDS30DS30_0_2,297.5,-9.382183896,4.693670258,16.58712817,26.87172059,38.24493282,50.29137047
DS20DS20_0_1vsDS30DS30_0_2,306,-9.396507841,4.703124061,16.64442395,26.94334032,38.38817227,50.47758175
DS20DS20_0_1vsDS30DS30_0_2,314.5,-9.42515573,4.660581946,16.61577606,26.92901637,38.38817227,50.54920147
DS20DS20_0_1vsDS30DS30_0_2,323,-9.382183896,4.720169556,16.75901551,27.04360793,38.63167934,50.77838459
DS20DS20_0_1vsDS30DS30_0_2,331.5,-9.367859951,4.797518858,16.93090285,27.25846711,38.86086246,51.12215927
DS20DS20_0_1vsDS30DS30_0_2,340,-9.367859951,4.827312663,16.93090285,27.31576289,38.8751864,51.07918744
DS30DS30_0_2vsDS10DS30_6_1,0,-14.66771956,-8.298338733,-5.827935706,-4.718402936,-4.125582604,-3.713625949
DS30DS30_0_2vsDS10DS30_6_1,8.5,-14.67726886,-8.298338733,-5.862790639,-4.73816998,-4.100181475,-3.336906199
DS30DS30_0_2vsDS10DS30_6_1,17,-14.69636745,-8.030958428,-5.058739867,-3.452739166,-2.478137957,0.4031904
DS30DS30_0_2vsDS10DS30_6_1,25.5,-13.9897195,-6.589014644,-2.946817434,-0.759551051,0.747996402,3.773309053
DS30DS30_0_2vsDS10DS30_6_1,34,-13.68414201,-6.054254035,-2.106861306,0.132305504,2.062648062,3.825352719
DS30DS30_0_2vsDS10DS30_6_1,42.5,-13.99926879,-6.140197705,-1.994275099,0.393736597,2.453405279,5.542507231
DS30DS30_0_2vsDS10DS30_6_1,51,-13.7223392,-5.442144124,-0.742505556,2.160719338,4.63255476,8.58481763
DS30DS30_0_2vsDS10DS30_6_1,59.5,-13.16847999,-4.292599801,0.958329208,4.34407051,7.410254151,11.78383199
DS30DS30_0_2vsDS10DS30_6_1,68,-13.06343773,-3.864695821,1.634600843,5.162349734,8.498873962,12.77695883
DS30DS30_0_2vsDS10DS30_6_1,76.5,-13.11118421,-3.734443416,2.057023527,5.786873731,9.36785995,14.30484629
DS30DS30_0_2vsDS10DS30_6_1,85,-12.88200109,-3.070194345,3.209518583,7.295662592,11.28726856,17.3415226
DS30DS30_0_2vsDS10DS30_6_1,93.5,-12.47138134,-2.228137373,4.434788828,8.899944418,13.29262084,18.79301568
DS30DS30_0_2vsDS10DS30_6_1,102,-12.54777572,-2.063889471,4.803487169,9.358310654,14.00881809,19.65245237
DS30DS30_0_2vsDS10DS30_6_1,110.5,-12.50957853,-1.834801846,5.346460173,10.17955016,15.08788861,21.66735395
