Finger Type,Pressure,Theta6,,Configuration,Pressure,Theta6
Finger_Large,167.93,30.78,,DS20DS20_0_1,167.8481013,37.29955246
Finger_Large,170.00,30.87,,DS20DS20_0_1,170,37.29955246
Finger_Large,172.07,31.09,,DS20DS20_0_1,172.1518987,37.29955246
Finger_Large,174.15,31.83,,DS20DS20_0_1,174.3037975,37.78656659
Finger_Large,176.22,31.77,,DS20DS20_0_1,176.4556962,38.27358071
Finger_Large,178.29,32.15,,DS20DS20_0_1,178.6075949,38.67465117
Finger_Large,180.37,32.83,,DS20DS20_0_1,180.7594937,39.07572163
Finger_Large,182.44,33.33,,DS20DS20_0_1,182.9113924,39.47679208
Finger_Large,184.51,34.32,,DS20DS20_0_1,184.5253165,39.77759493
Finger_Large,186.59,34.96,,DS20DS20_0_1,186.1392405,40.19298933
Finger_Large,188.66,35.09,,DS20DS20_0_1,188.2911392,40.8232429
Finger_Large,190.73,35.09,,DS20DS20_0_1,190.443038,41.28160914
Finger_Large,192.80,35.09,,DS20DS20_0_1,192.5949367,41.56808804
Finger_Large,194.88,35.08,,DS20DS20_0_1,194.7468354,41.89753877
Finger_Large,196.95,35.70,,DS20DS20_0_1,196.8987342,42.26996134
Finger_Large,199.02,36.35,,DS20DS20_0_1,199.0506329,42.58508812
Finger_Large,201.10,37.25,,DS20DS20_0_1,201.2025316,42.84291913
Finger_Large,203.17,37.87,,DS20DS20_0_1,203.3544304,43.01480647
Finger_Large,205.24,38.31,,DS20DS20_0_1,205.5063291,43.10075014
Finger_Large,207.32,39.20,,DS20DS20_0_1,207.6582278,43.2153417
Finger_Large,209.39,40.22,,DS20DS20_0_1,209.8101266,43.35858115
Finger_Large,211.46,40.87,,DS20DS20_0_1,211.9620253,43.55911637
Finger_Large,213.54,41.70,,DS20DS20_0_1,213.0379747,43.68803188
Finger_Large,215.61,41.70,,DS20DS20_0_1,215.1898734,43.94586289
Finger_Large,217.68,42.47,,DS20DS20_0_1,217.3417722,44.28963756
Finger_Large,219.76,43.07,,DS20DS20_0_1,219.4936709,44.63341224
Finger_Large,221.83,44.18,,DS20DS20_0_1,221.6455696,45.00583481
Finger_Large,223.90,44.92,,DS20DS20_0_1,223.7974684,45.37825737
Finger_Large,225.98,46.35,,DS20DS20_0_1,225.9493671,45.69338416
Finger_Large,228.05,47.03,,DS20DS20_0_1,228.1012658,46.00851095
Finger_Large,230.12,47.79,,DS20DS20_0_1,230.2531646,46.26634196
Finger_Large,232.20,48.50,,DS20DS20_0_1,232.4050633,46.52417296
Finger_Large,234.27,49.39,,DS20DS20_0_1,234.556962,46.72470819
Finger_Large,236.34,49.96,,DS20DS20_0_1,236.7088608,46.92524342
Finger_Large,238.41,50.49,,DS20DS20_0_1,238.8607595,47.06848287
Finger_Large,240.49,50.49,,DS20DS20_0_1,241.0126582,47.21172232
Finger_Large,242.56,51.04,,DS20DS20_0_1,243.164557,47.38360966
Finger_Large,244.63,51.33,,DS20DS20_0_1,245.3164557,47.555497
Finger_Large,246.71,51.43,,DS20DS20_0_1,247.4683544,47.75603222
Finger_Large,248.78,51.75,,DS20DS20_0_1,249.6202532,47.95656745
Finger_Large,250.85,52.39,,DS20DS20_0_1,251.7721519,48.15710268
Finger_Large,252.93,52.90,,DS20DS20_0_1,253.9240506,48.35763791
Finger_Large,255.00,53.49,,DS20DS20_0_1,256.0759494,48.58682103
Finger_Large,257.07,54.03,,DS20DS20_0_1,258.2278481,48.81600415
Finger_Large,259.15,54.32,,DS20DS20_0_1,260.3797468,48.98789148
Finger_Large,261.22,54.52,,DS20DS20_0_1,262.5316456,49.15977882
Finger_Large,263.29,54.99,,DS20DS20_0_1,264.6835443,49.36031405
Finger_Large,265.37,54.99,,DS20DS20_0_1,266.835443,49.56084928
Finger_Large,267.44,55.34,,DS20DS20_0_1,268.9873418,49.73273662
Finger_Large,269.51,55.77,,DS20DS20_0_1,270.0632911,49.81868029
Finger_Large,271.59,56.04,,DS20DS20_0_1,271.1392405,49.90462396
Finger_Large,273.66,56.50,,DS20DS20_0_1,273.2911392,49.93327185
Finger_Large,275.73,56.72,,DS20DS20_0_1,275.443038,49.96191974
Finger_Large,277.80,56.85,,DS20DS20_0_1,277.5949367,50.0478634
Finger_Large,279.88,57.11,,DS20DS20_0_1,279.7468354,50.13380707
Finger_Large,281.95,57.15,,DS20DS20_0_1,281.8987342,50.13380707
Finger_Large,284.02,57.18,,DS20DS20_0_1,284.0506329,50.13380707
Finger_Large,286.10,57.12,,DS20DS20_0_1,286.2025316,50.36299019
Finger_Large,288.17,57.15,,DS20DS20_0_1,288.3544304,50.59217331
Finger_Large,290.24,57.16,,DS20DS20_0_1,290.5063291,50.70676487
Finger_Large,292.32,57.28,,DS20DS20_0_1,292.6582278,50.82135643
Finger_Large,294.39,57.41,,DS20DS20_0_1,294.8101266,50.96459588
Finger_Large,296.46,57.45,,DS20DS20_0_1,296.9620253,51.10783533
Finger_Large,298.54,57.59,,DS20DS20_0_1,298.0379747,51.15080716
Finger_Large,300.61,57.54,,DS20DS20_0_1,300.1898734,51.23675083
Finger_Large,302.68,57.50,,DS20DS20_0_1,302.3417722,51.3226945
Finger_Large,304.76,57.42,,DS20DS20_0_1,304.4936709,51.40863817
Finger_Large,306.83,57.41,,DS20DS20_0_1,306.6455696,51.45161
Finger_Large,308.90,57.40,,DS20DS20_0_1,308.7974684,51.45161
Finger_Large,310.98,57.26,,DS20DS20_0_1,310.9493671,51.46593395
Finger_Large,313.05,57.36,,DS20DS20_0_1,313.1012658,51.49458184
Finger_Large,315.12,57.35,,DS20DS20_0_1,315.2531646,51.50890578
Finger_Large,317.20,57.41,,DS20DS20_0_1,317.4050633,51.50890578
Finger_Large,319.27,57.34,,DS20DS20_0_1,319.556962,51.55187762
Finger_Large,321.34,57.33,,DS20DS20_0_1,321.7088608,51.63782129
Finger_Large,323.41,57.49,,DS20DS20_0_1,323.8607595,51.69511707
Finger_Large,325.49,57.38,,DS20DS20_0_1,324.9367089,51.70944101
Finger_Large,327.56,57.36,,DS20DS20_0_1,327.0886076,51.7380889
Finger_Large,329.63,57.56,,DS20DS20_0_1,329.2405063,51.82403257
Finger_Large,331.71,57.63,,DS20DS20_0_1,331.3924051,51.90997624
Finger_Large,333.78,57.68,,DS20DS20_0_1,333.5443038,52.0245678
Finger_Large,335.85,57.82,,DS20DS20_0_1,335.6962025,52.13915936
Finger_Large,337.93,57.81,,DS20DS20_0_1,337.8481013,52.11051147
Finger_Large,340.00,57.80,,DS20DS20_0_1,340,52.08186358
,,,,,,
Finger_Small_1,0.00,0.00,,DS30DS30_0_2,0,-3.673805382
Finger_Small_1,2.56,2.58,,DS30DS30_0_2,2.125,-3.568094669
Finger_Small_1,5.11,3.49,,DS30DS30_0_2,5.046875,-3.422742439
Finger_Small_1,7.67,4.78,,DS30DS30_0_2,7.4375,-3.303817886
Finger_Small_1,10.23,6.21,,DS30DS30_0_2,10.625,-2.313130887
Finger_Small_1,12.78,7.13,,DS30DS30_0_2,12.75,-1.375299244
Finger_Small_1,15.34,7.26,,DS30DS30_0_2,15.9375,0.031448221
Finger_Small_1,17.89,8.07,,DS30DS30_0_2,17.53125,0.698038063
Finger_Small_1,20.45,8.92,,DS30DS30_0_2,20.1875,1.796759836
Finger_Small_1,23.01,8.92,,DS30DS30_0_2,21.25,2.228891767
Finger_Small_1,25.56,9.52,,DS30DS30_0_2,25.5,3.957419491
Finger_Small_1,28.12,10.29,,DS30DS30_0_2,28.6875,3.969021886
Finger_Small_1,30.68,11.08,,DS30DS30_0_2,30.28125,3.974823084
Finger_Small_1,33.23,11.96,,DS30DS30_0_2,32.9375,3.984491747
Finger_Small_1,35.79,12.95,,DS30DS30_0_2,35.859375,4.412813509
Finger_Small_1,38.35,13.90,,DS30DS30_0_2,38.25,4.839201538
Finger_Small_1,40.90,14.18,,DS30DS30_0_2,40.375,5.264622701
Finger_Small_1,43.46,14.74,,DS30DS30_0_2,43.03125,5.953890928
Finger_Small_1,46.02,15.19,,DS30DS30_0_2,46.75,7.170853285
Finger_Small_1,48.57,15.66,,DS30DS30_0_2,48.609375,7.818707407
Finger_Small_1,51.13,16.62,,DS30DS30_0_2,51,8.651662706
Finger_Small_1,53.68,16.62,,DS30DS30_0_2,53.125,9.525423344
Finger_Small_1,56.24,17.07,,DS30DS30_0_2,55.78125,10.61762414
Finger_Small_1,58.80,17.91,,DS30DS30_0_2,58.4375,11.70982494
Finger_Small_1,61.35,18.72,,DS30DS30_0_2,61.359375,12.29531618
Finger_Small_1,63.91,19.18,,DS30DS30_0_2,63.75,12.66236727
Finger_Small_1,66.47,19.77,,DS30DS30_0_2,66.9375,13.04911378
Finger_Small_1,69.02,20.57,,DS30DS30_0_2,68.53125,13.28545887
Finger_Small_1,71.58,21.21,,DS30DS30_0_2,71.1875,13.6936913
Finger_Small_1,74.14,21.54,,DS30DS30_0_2,74.109375,14.16638148
Finger_Small_1,76.69,21.71,,DS30DS30_0_2,76.5,14.553128
Finger_Small_1,79.25,22.12,,DS30DS30_0_2,79.6875,15.73485345
Finger_Small_1,81.80,23.07,,DS30DS30_0_2,81.28125,16.32571618
Finger_Small_1,84.36,23.05,,DS30DS30_0_2,83.9375,17.31048739
Finger_Small_1,86.92,23.90,,DS30DS30_0_2,87.125,18.10546633
Finger_Small_1,89.47,23.99,,DS30DS30_0_2,89.25,18.50653678
Finger_Small_1,92.03,24.63,,DS30DS30_0_2,92.4375,19.10814247
Finger_Small_1,94.59,24.99,,DS30DS30_0_2,94.03125,19.3086777
Finger_Small_1,97.14,25.75,,DS30DS30_0_2,97.75,19.70974815
Finger_Small_1,99.70,26.20,,DS30DS30_0_2,99.609375,19.88521648
Finger_Small_1,102.26,27.08,,DS30DS30_0_2,102,20.11081861
Finger_Small_1,104.81,27.61,,DS30DS30_0_2,105.1875,20.77688205
Finger_Small_1,107.37,28.40,,DS30DS30_0_2,106.78125,21.10991376
Finger_Small_1,109.92,28.77,,DS30DS30_0_2,110.5,21.88698777
Finger_Small_1,112.48,29.18,,DS30DS30_0_2,112.359375,22.53335579
Finger_Small_1,115.04,29.18,,DS30DS30_0_2,115.28125,23.4662027
Finger_Small_1,117.59,29.60,,DS30DS30_0_2,117.9375,24.34354432
Finger_Small_1,120.15,29.84,,DS30DS30_0_2,119.53125,24.75535774
Finger_Small_1,122.71,29.98,,DS30DS30_0_2,123.25,25.63986133
Finger_Small_1,125.26,30.21,,DS30DS30_0_2,125.109375,26.05346524
Finger_Small_1,127.82,30.90,,DS30DS30_0_2,127.5,26.58524169
Finger_Small_1,130.38,31.70,,DS30DS30_0_2,130.6875,27.18684738
Finger_Small_1,132.93,32.09,,DS30DS30_0_2,133.609375,27.73831926
Finger_Small_1,135.49,32.56,,DS30DS30_0_2,135.734375,28.09641788
Finger_Small_1,138.05,32.63,,DS30DS30_0_2,138.125,28.50465031
Finger_Small_1,140.60,32.74,,DS30DS30_0_2,140.25,28.8197771
Finger_Small_1,143.16,33.44,,DS30DS30_0_2,143.4375,29.29246728
Finger_Small_1,145.71,33.45,,DS30DS30_0_2,146.359375,29.91197789
Finger_Small_1,148.27,34.02,,DS30DS30_0_2,148.75,30.45270681
Finger_Small_1,150.83,34.11,,DS30DS30_0_2,150.875,30.95404488
Finger_Small_1,153.38,34.44,,DS30DS30_0_2,153,31.45538295
Finger_Small_1,155.94,35.12,,DS30DS30_0_2,156.1875,32.31481965
Finger_Small_1,158.50,35.50,,DS30DS30_0_2,159.109375,33.10263661
Finger_Small_1,161.05,36.15,,DS30DS30_0_2,161.234375,33.48938313
Finger_Small_1,163.61,36.61,,DS30DS30_0_2,163.625,33.94774936
Finger_Small_1,166.17,36.93,,DS30DS30_0_2,165.75,34.14828459
Finger_Small_1,168.72,37.13,,DS30DS30_0_2,168.9375,34.44908743
Finger_Small_1,171.28,37.48,,DS30DS30_0_2,171.859375,34.86806282
Finger_Small_1,173.83,37.95,,DS30DS30_0_2,173.984375,35.20288503
Finger_Small_1,176.39,37.96,,DS30DS30_0_2,176.375,35.58067908
Finger_Small_1,178.95,38.17,,DS30DS30_0_2,178.5,35.92445375
Finger_Small_1,181.50,38.85,,DS30DS30_0_2,181.6875,36.54754536
Finger_Small_1,184.06,39.50,,DS30DS30_0_2,184.609375,37.11871266
Finger_Small_1,186.62,40.08,,DS30DS30_0_2,186.734375,37.4982972
Finger_Small_1,189.17,40.17,,DS30DS30_0_2,189.125,37.92980604
Finger_Small_1,191.73,40.25,,DS30DS30_0_2,191.25,38.27358071
Finger_Small_1,194.29,40.52,,DS30DS30_0_2,194.4375,38.78924273
Finger_Small_1,196.84,40.75,,DS30DS30_0_2,197.359375,39.14734135
Finger_Small_1,199.40,40.93,,DS30DS30_0_2,199.484375,39.38368644
Finger_Small_1,201.95,41.09,,DS30DS30_0_2,201.875,39.64867942
Finger_Small_1,204.51,41.40,,DS30DS30_0_2,204,39.87786254
Finger_Small_1,207.07,41.40,,DS30DS30_0_2,207.1875,40.15717947
Finger_Small_1,209.62,41.85,,DS30DS30_0_2,210.109375,40.41321998
Finger_Small_1,212.18,41.97,,DS30DS30_0_2,212.234375,40.66388902
Finger_Small_1,214.74,42.27,,DS30DS30_0_2,214.625,40.93783446
