Configuration,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
E30DS30_6_3_VS_DS10DS10_0_1,168,-9.926493801,-0.978325435,4.975708732,10.69998682,15.06879001,19.96757916
E30DS30_6_3_VS_DS10DS10_0_1,172,-9.940817746,-0.811193646,5.221650866,11.01511361,15.57012808,20.35432567
E30DS30_6_3_VS_DS10DS10_0_1,176,-9.840550131,-0.661809225,5.476330606,11.30159251,15.97119854,20.9702553
E30DS30_6_3_VS_DS10DS10_0_1,180,-9.840550131,-0.495866324,5.7377426,11.57374746,16.34362111,21.35700181
E30DS30_6_3_VS_DS10DS10_0_1,184,-9.783254352,-0.317003224,5.964633887,11.91752214,16.80198734,21.84401594
E30DS30_6_3_VS_DS10DS10_0_1,188,-9.725958572,-0.155113999,6.18737123,12.26129682,17.63277615,22.28805823
E30DS30_6_3_VS_DS10DS10_0_1,192,-9.511099399,-0.017074142,6.459239703,12.54777571,18.06249449,22.71777658
E30DS30_6_3_VS_DS10DS10_0_1,196,-9.42515573,0.145101562,6.721797613,13.10640956,18.50653678,23.27641043
E30DS30_6_3_VS_DS10DS10_0_1,200,-9.42515573,0.321715802,6.948402421,13.36424057,19.05084669,23.80639639
E30DS30_6_3_VS_DS10DS10_0_1,204,-9.382183895,0.500765113,7.170137088,13.86557864,19.36597348,24.4796218
E30DS30_6_3_VS_DS10DS10_0_1,208,-9.339212061,0.65489076,7.434127392,14.25232515,19.76704393,24.88069225
E30DS30_6_3_VS_DS10DS10_0_1,212,-9.267592336,0.806867815,7.648986565,14.58177589,20.25405806,25.29608666
E30DS30_6_3_VS_DS10DS10_0_1,216,-9.253268391,0.986060365,7.921141518,14.86825478,20.72674824,25.74012895
E30DS30_6_3_VS_DS10DS10_0_1,220,-9.110028943,1.169063085,8.136000691,15.16905763,21.52888915,26.24146702
E30DS30_6_3_VS_DS10DS10_0_1,224,-9.081381053,1.3378851,8.408155644,15.45553652,21.74374833,26.78577692
E30DS30_6_3_VS_DS10DS10_0_1,228,-9.038409218,1.528995172,8.83787399,15.72769148,22.04455117,27.20117132
E30DS30_6_3_VS_DS10DS10_0_1,232,-9.038409218,1.691829777,8.895169769,16.10011404,22.3740019,27.80277701
